day,hour,place,event,value,NVA,VA,OUT,filename,productivity,VA_min,VA_max,lower_q,upper_q,VA_median,hour_box
22/01/2020,06:00,takto 8,-,0.0,0.0,0.0,0.0,8_2020012206,0.02892208757600376,0.0,0.2348330054906538,0.0015228596702069517,0.19921419930228979,0.007087175378896419,06:00
22/01/2020,06:00,takto 8,OUT,0.9197921082365013,0.0,0.0,0.9197921082365013,8_2020012206,0.03004220123306047,1.087162652466192e-05,0.21977559405464067,0.0023615346030517316,0.18028419690258585,0.009679544223712477,06:15
22/01/2020,06:00,takto 8,VA,0.032268012105032357,0.0,0.032268012105032357,0.0,8_2020012206,0.03418988265157293,8.482625506231687e-05,0.2598596815895971,0.002994707822178561,0.2132425396047961,0.012061788087174265,06:30
22/01/2020,06:00,takto 8,VNA,0.04793987965847125,0.04793987965847125,0.0,0.0,8_2020012206,0.03591787695949224,5.241918861607004e-05,0.27479196604308465,0.0030763801621585965,0.22548845445879995,0.012553702151672005,06:45
22/01/2020,07:00,takto 8,-,0.0,0.0,0.0,0.0,8_2020012207,0.00016686680170523586,0.0,0.00985946480946353,5.632374235013991e-06,0.009704636202020799,3.0563183003159906e-05,07:00
22/01/2020,07:00,takto 8,OUT,0.9995457087061892,0.0,0.0,0.9995457087061892,8_2020012207,0.00016649290125796788,2.375904482449659e-08,0.009580084323874983,9.320544196813762e-06,0.009412950827515297,4.017339336914777e-05,07:15
22/01/2020,07:00,takto 8,VA,0.00018381802249618236,0.0,0.00018381802249618236,0.0,8_2020012207,0.00019808161101066157,1.0355171599878567e-07,0.006600198609758433,1.2213078925616173e-05,0.006396754582379477,5.143404277848084e-05,07:30
22/01/2020,07:00,takto 8,VNA,0.00027047327131500163,0.00027047327131500163,0.0,0.0,8_2020012207,0.00020383077601086424,1.2852487225340137e-07,0.00822028273084443,1.2421079294136598e-05,0.008008877553030782,5.213631236524022e-05,07:45
22/01/2020,08:00,takto 8,-,0.0,0.0,0.0,0.0,8_2020012208,9.442241732229709e-07,0.0,5.772002802235211e-05,2.057969987209333e-08,5.7060572453455684e-05,1.2646799698779413e-07,08:00
22/01/2020,08:00,takto 8,OUT,0.9999974180814536,0.0,0.0,0.9999974180814536,8_2020012208,9.433454865731386e-07,3.8964776129307114e-11,8.053543133797468e-05,3.645319214971689e-08,7.981362220148587e-05,1.6404137559615957e-07,08:15
22/01/2020,08:00,takto 8,VA,1.0427814068674654e-06,0.0,1.0427814068674654e-06,0.0,8_2020012208,1.1484342215189708e-06,1.617830033665709e-10,8.149983345740662e-05,4.695797005280859e-08,8.058813507635943e-05,2.1205007724542034e-07,08:30
22/01/2020,08:00,takto 8,VNA,1.5391371394319668e-06,1.5391371394319668e-06,0.0,0.0,8_2020012208,1.135121746154781e-06,1.1366860944894168e-10,0.00010440456730082329,4.722659144135258e-08,0.00010346326902484063,2.1415032191692314e-07,08:45
22/01/2020,09:00,takto 8,-,0.0,0.0,0.0,0.0,8_2020012209,5.362849392766314e-09,0.0,8.382662831410988e-07,7.427412192912784e-11,8.353881766395369e-07,5.158534617913181e-10,09:00
22/01/2020,09:00,takto 8,OUT,0.9999999854200015,0.0,0.0,0.9999999854200015,8_2020012209,5.1806562798495244e-09,1.0370812317759344e-13,8.576633650771974e-07,1.3737592050450086e-10,8.544445971088219e-07,6.834572174510668e-10,09:15
22/01/2020,09:00,takto 8,VA,5.771466750914268e-09,0.0,5.771466750914268e-09,0.0,8_2020012209,6.109443808150074e-09,3.4005970670175325e-13,1.0660992099968282e-06,1.8543430824222762e-10,1.062005834582145e-06,8.869350098366134e-10,09:30
22/01/2020,09:00,takto 8,VNA,8.808533451966517e-09,8.808533451966517e-09,0.0,0.0,8_2020012209,6.432917522891159e-09,2.4339389157729083e-13,6.399042462101162e-07,1.7736341962286476e-10,6.359324527284847e-07,8.634419810394547e-10,09:45
22/01/2020,10:00,takto 8,-,0.0,0.0,0.0,0.0,8_2020012210,2.7955614186605882e-11,0.0,3.546988478097823e-09,2.913932246768193e-13,3.5342837452438776e-09,2.070616532626798e-12,10:00
22/01/2020,10:00,takto 8,OUT,0.9999999999184429,0.0,0.0,0.9999999999184429,8_2020012210,2.903619904646648e-11,2.325962473542946e-16,4.281936929642984e-09,5.174680419428753e-13,4.267558587122438e-09,2.7846689017574606e-12,10:15
22/01/2020,10:00,takto 8,VA,3.161040473008347e-11,0.0,3.161040473008347e-11,0.0,8_2020012210,3.2750653450178513e-11,4.534917606036632e-16,1.939691589287652e-08,7.293707191555914e-13,1.9378554660929126e-08,3.736763786744698e-12,10:30
22/01/2020,10:00,takto 8,VNA,5.0021992472401787e-11,5.0021992472401787e-11,0.0,0.0,8_2020012210,3.6699152237083006e-11,3.4084082597011115e-16,7.617744553962322e-09,6.64415857764938e-13,7.600271180781448e-09,3.477355646123136e-12,10:45
22/01/2020,11:00,takto 8,-,0.0,0.0,0.0,0.0,8_2020012211,1.6354506912887492e-13,0.0,3.601531360009691e-11,1.1039721166102013e-15,3.5956832987726894e-11,8.85246573236256e-15,11:00
22/01/2020,11:00,takto 8,OUT,0.9999999999996079,0.0,0.0,0.9999999999996079,8_2020012211,1.5935180055069812e-13,8.320213911796097e-19,6.158434828857873e-11,2.0386083764122836e-15,6.152138815736589e-11,1.1427472886932595e-14,11:15
22/01/2020,11:00,takto 8,VA,1.7665647491861213e-13,0.0,1.7665647491861213e-13,0.0,8_2020012211,1.8327692274477187e-13,9.037197373140106e-19,4.852831651250709e-11,2.7988755123558537e-15,4.8446097736310015e-11,1.5511426971042014e-14,11:30
22/01/2020,11:00,takto 8,VNA,2.773081528523192e-13,2.773081528523192e-13,0.0,0.0,8_2020012211,2.0045210725010357e-13,4.902231712251731e-19,7.191143009713546e-11,2.651243596651638e-15,7.183230221507454e-11,1.484596291957532e-14,11:45
22/01/2020,12:00,takto 8,-,0.0,0.0,0.0,0.0,8_2020012212,9.290631708406204e-16,0.0,2.506363843463636e-13,4.10471433913656e-18,2.5037846212773844e-13,3.602334000378877e-17,12:00
22/01/2020,12:00,takto 8,OUT,0.9999999999999994,0.0,0.0,0.9999999999999994,8_2020012212,8.500454902460873e-16,1.7154923230845378e-21,2.2144666951186546e-13,7.70212299711005e-18,2.2116351809480096e-13,4.7030387167366434e-17,12:15
22/01/2020,12:00,takto 8,VA,9.938694768583934e-16,0.0,9.938694768583934e-16,0.0,8_2020012212,1.0205313073994263e-15,3.8573555894385134e-21,3.4659481114602155e-13,1.0511072533264603e-17,3.4622700165858757e-13,6.410083972676688e-17,12:30
22/01/2020,12:00,takto 8,VNA,1.5838151270305523e-15,1.5838151270305523e-15,0.0,0.0,8_2020012212,1.1758379389474396e-15,6.640562065993724e-21,3.441485380251832e-13,1.0221324092284365e-17,3.437885862366066e-13,6.147094085746715e-17,12:45
22/01/2020,13:00,takto 8,-,0.0,0.0,0.0,0.0,8_2020012213,4.735330092242023e-18,0.0,2.8076212449453712e-15,1.550372029205825e-20,2.8065157520305344e-15,1.4409467289972246e-19,13:00
22/01/2020,13:00,takto 8,OUT,1.0,0.0,0.0,1.0,8_2020012213,5.106261480004723e-18,6.369112980025513e-24,3.5005083398879483e-15,2.91138771267869e-20,3.4992541450931833e-15,1.940209561622844e-19,13:15
22/01/2020,13:00,takto 8,VA,5.422710459507048e-18,0.0,5.422710459507048e-18,0.0,8_2020012213,5.3611832182620424e-18,1.549550276187372e-23,2.014694324296158e-15,4.095589092346192e-20,2.013052305312814e-15,2.603332805910326e-19,13:30
22/01/2020,13:00,takto 8,VNA,8.536072624071203e-18,8.536072624071203e-18,0.0,0.0,8_2020012213,6.4880670475194e-18,1.6204620856357926e-23,5.114670590921122e-15,3.876377230501003e-20,5.113101724447729e-15,2.4697431485105928e-19,13:45
22/01/2020,14:00,takto 8,-,0.0,0.0,0.0,0.0,8_2020012214,2.500974434798384e-20,0.0,1.2173836887790885e-17,6.102854860737003e-23,1.2169113401625775e-17,5.900232339284329e-22,14:00
22/01/2020,14:00,takto 8,OUT,1.0,0.0,0.0,1.0,8_2020012214,3.50063805516678e-20,1.9431661352377623e-26,3.2652155589208165e-17,1.1394320790460117e-22,3.264634656378554e-17,8.3116922332398e-22,14:15
22/01/2020,14:00,takto 8,VA,3.0356321935881666e-20,0.0,3.0356321935881666e-20,0.0,8_2020012214,3.0249654295082804e-20,5.0238392231988247e-26,1.127035408458018e-17,1.6127845624375073e-22,1.1263267898090159e-17,1.0785005196284461e-21,14:30
22/01/2020,14:00,takto 8,VNA,4.9236557879391606e-20,4.9236557879391606e-20,0.0,0.0,8_2020012214,3.115950854879222e-20,4.916025602317995e-26,1.714162868485845e-17,1.4725310544630295e-22,1.7134774020389003e-17,1.0245190649504303e-21,14:45
22/01/2020,15:00,takto 8,-,0.0,0.0,0.0,0.0,8_2020012215,1.374864799030207e-22,0.0,7.561313187162893e-20,2.3926470531085524e-25,7.559154923313087e-20,2.4913944318096935e-24,15:00
22/01/2020,15:00,takto 8,OUT,1.0,0.0,0.0,1.0,8_2020012215,2.1774159672635674e-22,4.973193138089395e-29,2.332490795817885e-19,4.4762280128798665e-25,2.3322343549061687e-19,3.467071094248707e-24,15:15
22/01/2020,15:00,takto 8,VA,1.7611659811366576e-22,0.0,1.7611659811366576e-22,0.0,8_2020012215,1.793147881586569e-22,1.2828397367867252e-28,9.994373428639848e-20,6.30133598475966e-25,9.991245561487993e-20,4.4916150157628855e-24,15:30
22/01/2020,15:00,takto 8,VNA,2.7110314942997633e-22,2.7110314942997633e-22,0.0,0.0,8_2020012215,1.699235276666287e-22,8.408252598220084e-29,9.246312621326501e-20,5.65447052555385e-25,9.243276132446816e-20,4.083601557273525e-24,15:45
22/01/2020,16:00,takto 8,-,0.0,0.0,0.0,0.0,8_2020012216,7.426756945058392e-25,0.0,4.1302455675617864e-22,8.832720710972439e-28,4.129290352170901e-22,1.0183044948083764e-26,16:00
22/01/2020,16:00,takto 8,OUT,1.0,0.0,0.0,1.0,8_2020012216,1.5309511469966363e-24,4.3442000418026394e-32,3.842978430655111e-21,1.7660568474979605e-27,3.842861457198018e-21,1.4633784635083963e-26,16:15
22/01/2020,16:00,takto 8,VA,1.064903272328509e-24,0.0,1.064903272328509e-24,0.0,8_2020012216,9.718664848639178e-25,4.452765125455348e-31,8.259749907476982e-22,2.3944277487170323e-27,8.258349299499184e-22,1.8716308422085615e-26,16:30
22/01/2020,16:00,takto 8,VNA,1.4309915114939588e-24,1.4309915114939588e-24,0.0,0.0,8_2020012216,1.0141197629476428e-24,3.8935600998005176e-31,1.520671488079873e-21,2.2387371877832565e-27,1.5205399035573004e-21,1.7072004430632794e-26,16:45
22/01/2020,06:00,takto 9,-,0.0,0.0,0.0,0.0,9_2020012206,0.019963991431898337,0.0,0.2881116614245884,0.0016107919459411697,0.26155882009435977,0.006654598411523588,06:00
22/01/2020,06:00,takto 9,OUT,0.9352281695715158,0.0,0.0,0.9352281695715158,9_2020012206,0.016981653265975605,2.072095846631221e-05,0.15519946040555985,0.0013870660327539488,0.13276460610508262,0.005628480109286731,06:15
22/01/2020,06:00,takto 9,VA,0.017410336379398404,0.0,0.017410336379398404,0.0,9_2020012206,0.01595694321726546,1.6443577939723952e-05,0.13174687371349691,0.0013249530783499156,0.11056277007021384,0.005403879558527987,06:30
22/01/2020,06:00,takto 9,VNA,0.04736149404908435,0.04736149404908435,0.0,0.0,9_2020012206,0.01673875760245422,2.7953324190816558e-05,0.14132439600134183,0.0014062853027368815,0.11883326636375899,0.005739771824120726,06:45
22/01/2020,07:00,takto 9,-,0.0,0.0,0.0,0.0,9_2020012207,0.0001125620665948773,0.0,0.004475389272952678,6.366799823095803e-06,0.004364720414423417,2.733901212980335e-05,07:00
22/01/2020,07:00,takto 9,OUT,0.999633275717237,0.0,0.0,0.999633275717237,9_2020012207,9.312843828117514e-05,3.595471665168069e-08,0.003734915746433298,5.54010182768923e-06,0.0036397357306214195,2.346863832179856e-05,07:15
