time_stamp,VA,NVA,OUT
0.2,0.0,0.5,0.5
0.4,0.0,0.5,0.5
0.6,0.0,0.5,0.5
0.8,0.0,0.5,0.5
1.0,0.0,0.5,0.5
1.2,0.0,0.5,0.5
1.4,0.0,0.5,0.5
1.6,0.0,0.5,0.5
1.8,0.0,0.5,0.5
2.0,0.0,0.5,0.5
2.2,0.0,0.5,0.5
2.4,0.0,0.5,0.5
2.6,0.0,0.5,0.5
2.8,0.0,0.5,0.5
3.0,0.0,0.5,0.5
3.2,0.0,0.5,0.5
3.4,0.0,0.5,0.5
3.6,0.0,0.5,0.5
3.8,0.0,0.5,0.5
4.0,0.0,0.525,0.475
4.2,0.0,0.5238095238095238,0.47619047619047616
4.4,0.0,0.5227272727272727,0.4772727272727273
4.6,0.0,0.5434782608695652,0.45652173913043476
4.8,0.0,0.5416666666666666,0.4583333333333333
5.0,0.0,0.54,0.46
5.2,0.0,0.5576923076923077,0.4423076923076923
5.4,0.0,0.5740740740740741,0.42592592592592593
5.6,0.0,0.5892857142857143,0.4107142857142857
5.8,0.0,0.603448275862069,0.39655172413793105
6.0,0.0,0.6166666666666667,0.38333333333333336
6.2,0.0,0.6290322580645161,0.3709677419354839
6.4,0.0,0.640625,0.359375
6.6,0.0,0.6515151515151515,0.3484848484848485
6.8,0.0,0.6617647058823529,0.3382352941176471
7.0,0.0,0.6714285714285714,0.32857142857142857
7.2,0.0,0.6805555555555556,0.3194444444444444
7.4,0.0,0.6891891891891891,0.3108108108108108
7.6,0.0,0.6973684210526315,0.3026315789473684
7.8,0.0,0.7051282051282052,0.2948717948717949
8.0,0.0,0.7125,0.2875
8.2,0.0,0.7195121951219512,0.2804878048780488
8.4,0.0,0.7261904761904762,0.27380952380952384
8.6,0.0,0.7325581395348837,0.26744186046511625
8.8,0.0,0.7386363636363636,0.26136363636363635
9.0,0.0,0.7444444444444445,0.25555555555555554
9.2,0.0,0.75,0.25
9.4,0.0,0.7553191489361702,0.24468085106382978
9.6,0.0,0.7604166666666666,0.23958333333333334
9.8,0.0,0.7653061224489796,0.23469387755102042
10.0,0.0,0.77,0.23
10.2,0.0,0.7745098039215687,0.22549019607843138
10.4,0.0,0.7788461538461539,0.22115384615384615
10.6,0.0,0.7830188679245284,0.2169811320754717
10.8,0.0,0.7870370370370371,0.21296296296296297
11.0,0.0,0.7909090909090909,0.20909090909090908
11.2,0.0,0.7946428571428571,0.20535714285714285
11.4,0.0,0.7982456140350878,0.20175438596491227
11.6,0.0,0.8017241379310345,0.19827586206896552
11.8,0.0,0.8050847457627118,0.19491525423728814
12.0,0.0,0.8083333333333333,0.19166666666666668
12.2,0.0,0.8032786885245902,0.19672131147540983
12.4,0.0,0.7983870967741935,0.20161290322580644
12.6,0.0,0.7936507936507936,0.20634920634920634
12.8,0.0,0.7890625,0.2109375
13.0,0.0,0.7923076923076923,0.2076923076923077
13.2,0.0,0.7954545454545454,0.20454545454545456
13.4,0.0,0.7985074626865671,0.20149253731343283
13.6,0.0,0.8014705882352942,0.19852941176470587
13.8,0.0,0.8043478260869565,0.1956521739130435
14.0,0.0,0.8,0.2
14.2,0.0,0.795774647887324,0.20422535211267606
14.4,0.0,0.7916666666666666,0.20833333333333334
14.6,0.0,0.7876712328767124,0.21232876712328766
14.8,0.0,0.7837837837837838,0.21621621621621623
15.0,0.0,0.78,0.22
15.2,0.0,0.7763157894736842,0.2236842105263158
15.4,0.0,0.7727272727272727,0.22727272727272727
15.6,0.0,0.7756410256410257,0.22435897435897437
15.8,0.0,0.7784810126582279,0.22151898734177214
16.0,0.0,0.78125,0.21875
16.2,0.0,0.7839506172839507,0.21604938271604937
16.4,0.0,0.7865853658536586,0.21341463414634146
16.6,0.0,0.7891566265060241,0.21084337349397592
16.8,0.0,0.7916666666666666,0.20833333333333334
17.0,0.0,0.7941176470588235,0.20588235294117646
17.2,0.0,0.7906976744186046,0.20930232558139536
17.4,0.0,0.7931034482758621,0.20689655172413793
17.6,0.0,0.7954545454545454,0.20454545454545456
17.8,0.0,0.797752808988764,0.20224719101123595
18.0,0.0,0.8,0.2
18.2,0.0,0.8021978021978022,0.1978021978021978
18.4,0.0,0.7989130434782609,0.20108695652173914
18.6,0.0,0.7956989247311828,0.20430107526881722
18.8,0.0,0.7925531914893617,0.2074468085106383
19.0,0.0,0.7947368421052632,0.20526315789473684
19.2,0.0,0.796875,0.203125
19.4,0.0,0.7989690721649485,0.20103092783505155
19.6,0.0,0.8010204081632653,0.1989795918367347
19.8,0.0,0.803030303030303,0.19696969696969696
20.0,0.0,0.805,0.195
20.2,0.0,0.806930693069307,0.19306930693069307
20.4,0.0,0.8088235294117647,0.19117647058823528
20.6,0.0,0.8106796116504854,0.18932038834951456
20.8,0.0,0.8125,0.1875
21.0,0.0,0.8142857142857143,0.18571428571428572
21.2,0.0,0.8160377358490566,0.18396226415094338
21.4,0.0,0.8177570093457944,0.1822429906542056
21.6,0.0,0.8194444444444444,0.18055555555555555
21.8,0.0,0.8211009174311926,0.17889908256880735
22.0,0.0,0.8227272727272728,0.17727272727272728
22.2,0.0,0.8243243243243243,0.17567567567567569
22.4,0.0,0.8258928571428571,0.17410714285714285
22.6,0.0,0.827433628318584,0.17256637168141592
22.8,0.0,0.8245614035087719,0.17543859649122806
23.0,0.0,0.8217391304347826,0.1782608695652174
23.2,0.0,0.8189655172413793,0.1810344827586207
23.4,0.0,0.8205128205128205,0.1794871794871795
23.6,0.0,0.8177966101694916,0.18220338983050846
23.8,0.0,0.819327731092437,0.18067226890756302
24.0,0.0,0.8125,0.1875
24.2,0.0,0.8099173553719008,0.19008264462809918
24.4,0.0,0.8073770491803278,0.19262295081967212
24.6,0.0,0.8048780487804879,0.1951219512195122
24.8,0.0,0.7983870967741935,0.20161290322580644
25.0,0.0,0.796,0.204
25.2,0.0,0.7936507936507936,0.20634920634920634
25.4,0.0,0.7913385826771654,0.20866141732283464
25.6,0.0,0.78515625,0.21484375
25.8,0.0,0.7790697674418605,0.22093023255813954
26.0,0.0,0.7730769230769231,0.22692307692307692
26.2,0.0,0.7748091603053435,0.22519083969465647
26.4,0.0,0.7765151515151515,0.22348484848484848
26.6,0.0,0.7781954887218046,0.22180451127819548
26.8,0.0,0.7798507462686567,0.22014925373134328
27.0,0.0,0.7777777777777778,0.2222222222222222
27.2,0.0,0.7757352941176471,0.22426470588235295
27.4,0.0,0.7737226277372263,0.22627737226277372
27.6,0.0,0.7717391304347826,0.22826086956521738
27.8,0.0,0.7697841726618705,0.2302158273381295
28.0,0.0,0.7714285714285715,0.22857142857142856
28.2,0.0,0.7730496453900709,0.22695035460992907
28.4,0.0,0.7746478873239436,0.22535211267605634
28.6,0.0,0.7762237762237763,0.22377622377622378
28.8,0.0,0.7777777777777778,0.2222222222222222
29.0,0.0,0.7758620689655172,0.22413793103448276
29.2,0.0,0.773972602739726,0.22602739726027396
29.4,0.0,0.7721088435374149,0.22789115646258504
29.6,0.0,0.7702702702702703,0.22972972972972974
29.8,0.0,0.7684563758389261,0.23154362416107382
30.0,0.0,0.77,0.23
30.2,0.0,0.7715231788079471,0.22847682119205298
30.4,0.0,0.7697368421052632,0.23026315789473684
30.6,0.0,0.7679738562091504,0.23202614379084968
30.8,0.0,0.7694805194805194,0.2305194805194805
31.0,0.0,0.7709677419354839,0.22903225806451613
31.2,0.0,0.7724358974358975,0.22756410256410256
31.4,0.0,0.7738853503184714,0.22611464968152867
31.6,0.0,0.7721518987341772,0.22784810126582278
31.8,0.0,0.7704402515723271,0.22955974842767296
32.0,0.0,0.771875,0.228125
32.2,0.0,0.7732919254658385,0.2267080745341615
32.4,0.0,0.7746913580246914,0.22530864197530864
32.6,0.0,0.7760736196319018,0.22392638036809817
32.8,0.0,0.7774390243902439,0.2225609756097561
33.0,0.0,0.7787878787878788,0.22121212121212122
33.2,0.0,0.7801204819277109,0.21987951807228914
33.4,0.0,0.781437125748503,0.218562874251497
33.6,0.0,0.7827380952380952,0.21726190476190477
33.8,0.0,0.7840236686390533,0.21597633136094674
34.0,0.0,0.7852941176470588,0.21470588235294116
34.2,0.0,0.7865497076023392,0.2134502923976608
34.4,0.0,0.7877906976744186,0.21220930232558138
34.6,0.0,0.7890173410404624,0.21098265895953758
34.8,0.0,0.7902298850574713,0.20977011494252873
35.0,0.0,0.7914285714285715,0.20857142857142857
35.2,0.0,0.7897727272727273,0.21022727272727273
35.4,0.0,0.788135593220339,0.211864406779661
35.6,0.0,0.7893258426966292,0.21067415730337077
35.8,0.0,0.7877094972067039,0.2122905027932961
36.0,0.0,0.7861111111111111,0.21388888888888888
36.2,0.0,0.7845303867403315,0.2154696132596685
36.4,0.0,0.782967032967033,0.21703296703296704
36.6,0.0,0.7841530054644809,0.21584699453551912
36.8,0.0,0.7853260869565217,0.21467391304347827
37.0,0.0,0.7837837837837838,0.21621621621621623
37.2,0.0,0.782258064516129,0.21774193548387097
37.4,0.0,0.7807486631016043,0.2192513368983957
37.6,0.0,0.7792553191489362,0.22074468085106383
37.8,0.0,0.7804232804232805,0.21957671957671956
38.0,0.0,0.781578947368421,0.21842105263157896
38.2,0.0,0.7827225130890052,0.21727748691099477
38.4,0.0,0.7838541666666666,0.21614583333333334
38.6,0.0,0.7849740932642487,0.21502590673575128
38.8,0.0,0.7860824742268041,0.21391752577319587
39.0,0.0,0.7846153846153846,0.2153846153846154
39.2,0.0,0.7831632653061225,0.21683673469387754
39.4,0.0,0.7817258883248731,0.2182741116751269
39.6,0.0,0.7803030303030303,0.2196969696969697
39.8,0.0,0.7814070351758794,0.2185929648241206
40.0,0.0,0.7825,0.2175
40.2,0.0,0.7835820895522388,0.21641791044776118
40.4,0.0,0.7846534653465347,0.21534653465346534
40.6,0.0,0.7857142857142857,0.21428571428571427
40.8,0.0,0.7867647058823529,0.21323529411764705
41.0,0.0,0.7878048780487805,0.2121951219512195
41.2,0.0,0.7888349514563107,0.2111650485436893
41.4,0.0,0.7898550724637681,0.21014492753623187
41.6,0.0,0.7908653846153846,0.2091346153846154
41.8,0.0,0.7918660287081339,0.20813397129186603
42.0,0.0,0.7928571428571428,0.20714285714285716
42.2,0.0,0.7938388625592417,0.20616113744075829
42.4,0.0,0.7948113207547169,0.20518867924528303
42.6,0.0,0.795774647887324,0.20422535211267606
